location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
6237507,Providence Academy ,temperature,26,c,2026-04-22T16:00:00Z,2026-04-22T19:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,temperature,25.9,c,2026-04-22T17:00:00Z,2026-04-22T20:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,temperature,25.8,c,2026-04-22T18:00:00Z,2026-04-22T21:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,temperature,25.6,c,2026-04-22T19:00:00Z,2026-04-22T22:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,temperature,25.5,c,2026-04-22T20:00:00Z,2026-04-22T23:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,temperature,25.4,c,2026-04-22T21:00:00Z,2026-04-23T00:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,temperature,25.3,c,2026-04-22T22:00:00Z,2026-04-23T01:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,temperature,25.2,c,2026-04-22T23:00:00Z,2026-04-23T02:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,temperature,25.1,c,2026-04-23T00:00:00Z,2026-04-23T03:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,468,particles/cm³,2026-04-22T01:00:00Z,2026-04-22T04:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,373,particles/cm³,2026-04-22T02:00:00Z,2026-04-22T05:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,314,particles/cm³,2026-04-22T03:00:00Z,2026-04-22T06:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,238,particles/cm³,2026-04-22T04:00:00Z,2026-04-22T07:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,324,particles/cm³,2026-04-22T05:00:00Z,2026-04-22T08:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,434,particles/cm³,2026-04-22T06:00:00Z,2026-04-22T09:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,361,particles/cm³,2026-04-22T07:00:00Z,2026-04-22T10:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,316,particles/cm³,2026-04-22T08:00:00Z,2026-04-22T11:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,324,particles/cm³,2026-04-22T09:00:00Z,2026-04-22T12:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,470,particles/cm³,2026-04-22T10:00:00Z,2026-04-22T13:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,423,particles/cm³,2026-04-22T11:00:00Z,2026-04-22T14:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,331,particles/cm³,2026-04-22T12:00:00Z,2026-04-22T15:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,432,particles/cm³,2026-04-22T13:00:00Z,2026-04-22T16:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,411,particles/cm³,2026-04-22T14:00:00Z,2026-04-22T17:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,358,particles/cm³,2026-04-22T15:00:00Z,2026-04-22T18:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,379,particles/cm³,2026-04-22T16:00:00Z,2026-04-22T19:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,538,particles/cm³,2026-04-22T17:00:00Z,2026-04-22T20:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,529,particles/cm³,2026-04-22T18:00:00Z,2026-04-22T21:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,444,particles/cm³,2026-04-22T19:00:00Z,2026-04-22T22:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,527,particles/cm³,2026-04-22T20:00:00Z,2026-04-22T23:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,664,particles/cm³,2026-04-22T21:00:00Z,2026-04-23T00:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,545,particles/cm³,2026-04-22T22:00:00Z,2026-04-23T01:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,459,particles/cm³,2026-04-22T23:00:00Z,2026-04-23T02:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,um003,610,particles/cm³,2026-04-23T00:00:00Z,2026-04-23T03:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
